smiles,label,zinc_id
CN([C@H](C)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(=O)N1CC[C@@H](C[C@@H]1c1ccc(F)cc1C)N1CCN(CC1)C(C)=O,0,ZINC000042856596
CC(C)[C@](C)(O)/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(/CCC[C@@]21C)=C/C=C1/C[C@@H](O)C[C@H](O)C/1=C,0,ZINC000004791507
CN(CC1=Cc2ccccc2Oc2ccccc12)CC#C,0,ZINC000033943510
CO/C(/O)=C1/[C@H](C(C(=O)O[C@H]2CN(Cc3ccccc3)CCC2)=C(C)N=C/1C)c1cc(ccc1)[N+]([O-])=O,0,ZINC000021992076
CO/N=C1\CN(C[C@H]\1CN)c1[n]c2c(cc1F)c(=O)c(c[n]2C1CC1)C(O)=O,1,ZINC000022059930
CC(C)(C(=O)N[C@H]1c2ccccc2-c2ccccc2NC1=O)C(=O)NCC(F)(F)C(F)(F)F,0,ZINC000043208642
CC(C)(Oc1ccc(Cl)cc1)C(O)=O,1,ZINC000000001187
C[C@H](C(O)=O)c1cc(Cl)c(cc1)N1CC=CC1,1,ZINC000000000646
CCc1cc2c(CCC(=O)N2Cc2ccc(cc2)-c2ccccc2-c2[nH][n][n][n]2)c(CC)[n]1,0,ZINC000003784334
NC(=N)c1ccc(cc1)N1CCN(CC1)C1CCN(CC(O)=O)CC1,0,ZINC000000005719
N[C@H](C(=O)N1[C@H](C[C@H]2C[C@@H]12)C#N)C12CC3C[C@@](O)(C1)C[C@](O)(C3)C2,1,ZINC000095618855
O[C@@H]1Cc2c(cc(O)cc2O)O[C@@H]1c1cc(O)c(O)c(O)c1,0,ZINC000003870336
O=c1ccc2[n]cc(=O)[n]3[C@H](CN4CCC(CC4)NCc4cc5CCCOc5c[n]4)C[n]1c32,0,ZINC000138562667
Cc1c[n]c(c[n]1)C(=O)N[C@H]1CCCCCC=C[C@H]2C[C@]2(NC(=O)[C@@H]2C[C@H](CN2C1=O)Oc1[n]c2ccccc2c2ccccc21)C(=O)NS(=O)(=O)C1CC1 |c:17|,1,ZINC000203757351
CCCCCCCCCC(=O)c1cc(c(O)cc1)C(=O)Nc1ccc(cc1)[N+]([O-])=O,0,ZINC000043620440
CN1CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@@H]3CC[C@H]4O)ccc5O,1,ZINC000037634012
O=C1NC(=O)[C@@]2(N1)c1cc(F)ccc1-c1ccccc21,0,ZINC000000003857
O=c1c2ccccc2c(Cc2ccc(Cl)cc2)[n][n]1[C@@H]1CCCNCC1,1,ZINC000006117750
C[C@H]1CCC[C@H](O)CCCCCc2cc(O)cc(O)c2C(=O)O1,0,ZINC000003831615
COc1ccc(CS(=O)(=O)/C=C/c2c(cc(cc2OC)OC)OC)cc1N,0,ZINC000032816695
CC1(C)CCC(=O)C(C)=C1/C=C/C(/C)=C/C=C/C(/C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C(=O)CCC1(C)C,1,ZINC000017653971
Cc1ccc(Cc2cc3c([n]c[n]([C@H]4CCCC[C@@H]4O)c3=O)c3ccccc23)c[n]1,0,ZINC000095930184
CC(C)(Oc1ccc(cc1)C(=O)c1ccc(Cl)cc1)C(O)=O,1,ZINC000000001984
CCNCC(=O)Nc1c(C)cccc1C,1,ZINC000002036824
CCOCc1cc(CN2C(CCCC)=NC3(CCCC3)C2=O)ccc1-c1ccccc1S(=O)(=O)Nc1[n]oc(C)c1C,0,ZINC000006716826
OC(=O)c1ccc(NC(=O)[C@H](CC2CCCC2)[n]2c[n]c(c2)C(F)(F)F)[n]c1,0,ZINC000068250431
C[C@@]12CC[C@@H]3[C@@H](C)CC[C@@H]4[C@H](C)[C@H](O)O[C@@H](O1)[C@@]43OO2,1,ZINC000100054871
